absolute_monarchy;Absolute Monarchy;Monarchie absolue;Absolute Monarchie;;Monarquía absoluta;;;;;;;;;x;;;;,,,,,
absolute_monarchy_ruler;King;Roi;König;;Rey;;;;;;;;;x;;;;,,,,,
anarcho_liberal;Anarcho-Liberal;Libéral anarchiste;Anarcho-Liberal;;Anarcoliberal;;;;;;;;;x;;;;,,,,,
anarcho_liberal_uh;Anarcho-Liberals want to see social reforms rolled back, and will never support further reforms of any kind.;Les anarcho-libéraux veulent davantage de réformes politiques et le retrait des réformes sociales.;Anarcho-Liberale sind an zusätzlichen Politikreformen interessiert, setzen sich aber für die Außerkraftsetzung von Sozialreformen ein.;;Los anarcoliberales rechazan las reformas sociales, y nunca apoyarán más reformas de ningún tipo.;;;;;;;;;x;,,
bourgeois_dictatorship;Bourgeois Dictatorship;Dictature bourgeoise;Bürgerliche Diktatur;;Dictadura burguesa;;;;;;;;;x;;;;,,,,,
bourgeois_dictatorship_ruler;President;Président;Präsident;;Presidente;;;;;;;;;x;;;;,,,,,
communist;Communist;Communistes;Kommunistisch;;Comunista;;;;;;;;;x;;;;,,,,,
communist_uh;Communists want to enact social reforms, but want to see political reforms rolled back.;Les communistes veulent davantage de réformes sociales et le retrait des réformes politiques.;Kommunisten sind an zusätzlichen Sozialreformen interessiert, setzen sich aber für die Außerkraftsetzung von Politikreformen ein.;;Los comunistas quieren promulgar reformas sociales, pero rechazan las reformas políticas.;;;;;;;;;x;,,
conservative;Conservative;Conservateur;Konservativ;;Conservadora;;;;;;;;;x;;;;,,,,,
conservative_uh;Conservatives prefer the status-quo, but may back reforms under conditions of high militancy.;Les conservateurs préfèrent le statu quo, mais peuvent soutenir les réformes en cas d'extrême nécessité.;Konservative bevorzugen den Status Quo, können aber in extremen Situationen Reformen unterstützen.;;Los conservadores prefieren el statu quo, pero pueden apoyar reformas en condiciones de elevada militancia.;;;;;;;;;x;,
democracy;Democracy;Démocratie;Demokratie;;Democracia;;;;;;;;;x;;;;,,,,,
democracy_ruler;President;Président;Präsident;;Presidente;;;;;;;;;x;;;;,,,,,
fascist;Fascist;Fasciste;Faschistisch;;Fascista;;;;;;;;;x;;;;,,,,,
fascist_dictatorship;Fascist Dictatorship;Dictature fasciste;Faschistische Diktatur;;Dictadura fascista;;;;;;;;;x;;;;,,,,,
fascist_dictatorship_ruler;Führer;Führer;Führer;;Führer;;;;;;;;;x;;;;,,,,,
fascist_uh;Fascists support the extension of social reform, and the removal of political reform, but will oppose any reform as long as the ruling party is not Fascist.;Les fascistes soutiennent la poursuite des réformes sociales et le retrait des réformes politiques à condition que le parti dirigeant partage leur idéologie.;Faschisten unterstützen die Ausweitung von Sozialreformen und die Außerkraftsetzung von Politikreformen - aber nur, wenn Ihre Regierungspartei faschistisch ist.;;Los fascistas abogan por la ampliación de la reforma social, y la eliminación de la reforma política, pero se opondrán a cualquier reforma mientras el partido gobernante no sea fascista.;;;;;;;;;x;
french_second_empire;Constitutional Monarchy;;;;;;x;;,,,,,
hms_government;HM's Government;Gouvernement de Sa Majesté;Ihrer Majestät Regierung;;Gobierno de Su Majestad;;;;;;;;;x;,,,,,
hms_government_ruler;King;Roi;König;;Rey;;;;;;;;;x;;;;,,,,,
islamist;Islamist;x;;;;;;;;;,,,,,
islamist_uh;Islamists have for goal the institution of Sharia law and therefore will always back the implemention of reactionary political and social reforms.;x;;;;;;;;;,,,,,
liberal;Liberal;Liberal;Liberal;;Liberal;;;;;;;;;x;;;;,,,,,
liberal_uh;Liberals want to enact further political reforms, but will also support social reform under conditions of high militancy.;Les libéraux veulent davantage de réformes politiques.;Liberale sind an zusätzlichen Politikreformen interessiert.;;Los liberales abogan por más reformas políticas, pero apoyarán también reformas sociales bajo condiciones de elevada militancia.;;;;;;;;;x;,,,
napoleonic_empire;Napoleonic Absolutism;;;;;;;;;;;;;x,,,,,
presidential_dictatorship;Presidential Dictatorship;Dictature présidentielle;Präsidiale Diktatur;;Dictadura presidencialista;;;;;;;;;x;;;;,,,,,
presidential_dictatorship_ruler;President;Président;Präsident;;Presidente;;;;;;;;;x;;;;,,,,,
proletarian_dictatorship;Communist Dictatorship;Dictature Communiste;Kommunistische Diktatur;;Dictadura Comunista;;;;;;;;;x;;;;,,,,,
proletarian_dictatorship_ruler;Chairman;Président;Vorsitzender;;Presidente del consejo;;;;;;;;;x;;;;,,,,,
prussian_constitutionalism;Prussian Constitutionalism;Constitutionalisme prusse;Konstitutionelle Monarchie;;Constitucionalismo prusiano;;;;;;;;;x;;;;,,,,,
prussian_constitutionalism_ruler;King;Roi;König;;Rey;;;;;;;;;x;;;;,,,,,
reactionary;Reactionary;Réactionnaires;Reaktionär;;Reaccionaria;;;;;;;;;x;;;;,,,,,
reactionary_uh;Reactionaries always attempt to roll back both political and social reforms.;Les réactionnaires sont toujours contre les réformes.;Reaktionäre versuchen stets, Reformen rückgängig zu machen.;;Los reaccionarios siempre tratan de evitar las reformas, tanto políticas como sociales.;;;;;;;;;x;,,,
revolutionary_republic;Revolutionary Republic;;;;;;;;;;;;;x,,,,,
socialist;Socialist;Socialiste;Sozialistisch;;Socialista;;;;;;;;;x;;;;,,,,,
socialist_republic;Socialist Republic;;;;;;x;;,,,,,
socialist_republic_ruler;Chairman;;;;;;x;;,,,,,
socialist_uh;Socialists want to see the enactment of further social reforms, but may back political reforms under conditions of high militancy.;Les socialistes veulent davantage de réformes sociales.;Sozialisten sind an zusätzlichen Sozialreformen interessiert.;;Los socialistas abogan por promulgar más reformas sociales, pero pueden apoyar reformas políticas en condiciones de elevada militancia.;;;;;;;;;x;,,,
theocracy;Theocracy;;;;;;;;;;;;;x,,,,,
theocratic_dictatorship;Theocratic Dictatorship;x;;;;;;;;;,,,,,
theocratic_dictatorship_ruler;Your holiness;x;;;;;;;;;,,,,,
